preset name,cc 0,PGM,type,characters
harmbrass,31,81,brass,acoustic + portamento
horn ytorink,31,88,brass,acoustic + warm
jennybrass,31,105,brass,acoustic + fm + portamento
osc five,32,91,brass,analog + simple + stereo
smooth mouth,33,47,brass,acoustic + vocal
trumpey,33,102,brass,analog
vbrass 1,33,113,brass,acoustic + bright + clean + synthetic
versailles brass,33,116,brass,analog + big + ensemble + simple + soft + warm
vocalise,33,123,brass,clean + synthetic + vocal
walking elephants,33,126,brass,acoustic + warm + woody
wow soul chords,34,10,brass,analog + simple + soft
piano bazikey,30,35,elec,analog + simple
piano beyond felt,30,39,elec,acoustic + shaking + strumming
piano clavi 1,30,81,elec,electric
piano clawha,30,84,elec,electric
piano copey,30,88,elec,electric
piano cp eight,30,93,elec,electric
piano deven,30,110,elec,electric
piano electric keys 1,31,7,elec,electric
piano electric keys 5,31,8,elec,electric
piano electric keys 6,31,9,elec,clean + electric
piano epiano1,31,20,elec,electric
piano epiarom,31,21,elec,fm
piano etines mk1,31,26,elec,acoustic + electric
piano fm clav 1,31,42,elec,fm
piano fm piano1,31,48,elec,bright + fm
piano hammers brushed,31,79,elec,acoustic + shaking + soft
piano iziki,31,100,elec,analog + clean + fm + simple
piano kakey,31,115,elec,electric
piano klavunk,32,2,elec,clean + electric
piano legacy dx ep,32,15,elec,clean + digital
piano martine,32,37,elec,acoustic + strumming
piano opikey,32,81,elec,fm
piano tine,33,97,elec,acoustic + clean + dry + electric + intimate
piano tinolin,33,98,elec,acoustic + fm
piano upibanks,33,111,elec,acoustic
reeds anareed,30,13,flute,acoustic + analog + portamento
reeds arcadia pan,30,19,flute,acoustic
reeds bansuri,30,30,flute,acoustic + soft + woody
reeds brasswind,30,56,flute,acoustic + portamento
reeds claribreath,30,76,flute,acoustic + atonal + noise + portamento
reeds clarinet,30,77,flute,acoustic + clean + warm + woody
reeds double reed,30,117,flute,acoustic + bright + clean + warm
reeds empyrean,31,16,flute,acoustic + warm
reeds flip tube,31,34,flute,acoustic + airy + echo + lfo
reeds flute transverse,31,37,flute,acoustic + airy + clean
reeds flutimut,31,38,flute,acoustic + fm
reeds fm reed,31,49,flute,acoustic + fm + portamento
reeds gowind,31,70,flute,acoustic + clean
reeds microdelay pipewg,32,41,flute,acoustic + airy + clean
reeds model string wind,32,45,flute,acoustic + airy + morphing
reeds oboreed,32,70,flute,acoustic + fm + portamento
reeds panpipe solo,32,100,flute,airy + clean + noise
reeds pipopi,32,112,flute,acoustic + portamento
reeds ringmod harmonica,33,15,flute,acoustic + distorted
reeds saxoon,33,22,flute,acoustic + atonal + noise + reverberant
reeds sentimental mood,33,26,flute,acoustic + airy + clean + woody
reeds soprano recorder,33,52,flute,acoustic + airy + clean + portamento
reeds tabec,33,79,flute,acoustic + portamento
reeds tin whistle,33,96,flute,clean + portamento
reeds windotron,34,4,flute,acoustic + fm + soft + stereo + woody
reeds windtube double reed,34,5,flute,acoustic + clean
reeds woodwind,34,7,flute,acoustic + airy + clean + woody
reeds yokobue,34,13,flute,acoustic + woody
aerials,30,4,keys,analog
ambiant analog 1,30,10,keys,analog + big + echo + reverberant + synthetic
analog adsr,30,11,keys,analog + synthetic
analog scream,30,12,keys,aggressive + analog + big + distorted + noise + stereo + warm
aqueous feel,30,18,keys,airy + bright + clean + digital
azure key,30,22,keys,bright + clean + digital + simple + soft
bowedsymphfm,30,50,keys,acoustic + clean + fm + shaking + soft + stereo
classicana key,30,78,keys,analog + simple
clavicorda,30,83,keys,digital + fm + shaking + stereo
declanche,30,107,keys,fm + lfo
dfm,30,111,keys,fm + stereo
disco dawn,30,114,keys,analog + dry + intimate + simple
double saw,30,118,keys,analog + chords + simple
dx1,30,121,keys,fm
dx2,30,122,keys,fm
dx3,30,123,keys,fm
dx4,30,124,keys,fm
dxim,30,125,keys,fm
efferie,31,0,keys,fm + strumming
efmope,31,1,keys,bright + fm + simple
eightiki,31,2,keys,analog + fm
ekeynox,31,4,keys,analog
elsynkey,31,13,keys,analog
emancikey,31,14,keys,analog
envinkin,31,18,keys,analog
envinkon,31,19,keys,analog
feleaz,31,31,keys,fm + simple + stereo
fleme,31,33,keys,fm
fm basic 4-ops,31,40,keys,bright + fm + strumming
fm dreampiano,31,45,keys,airy + fm + strumming + warm
fmwood&strings,31,51,keys,acoustic + metallic
fof variabler res,31,52,keys,synthetic + vocal
foming,31,53,keys,bright + fm
game invader,31,64,keys,digital + lofi + shaking
graceful integrated,31,71,keys,analog + fm + simple + soft
harpsytron,31,85,keys,dry + electric + fm
hp tales,31,90,keys,analog
ikia,31,96,keys,fm + lfo
jumpare,31,109,keys,analog + lfo
june sunset,31,110,keys,analog
jupinard,31,111,keys,analog + dry + simple
jx10 1b,31,113,keys,analog + soft
kinaflap,31,119,keys,analog
kinafun,31,120,keys,analog + lfo
kinetic analog,31,122,keys,analog
kinetic anaseq,31,123,keys,aggressive + analog + echo + lfo + stereo + synthetic
kinetic satpad,32,0,keys,aggressive + analog + big + distorted + ensemble + evolving + reverberant
ladagcer,32,6,keys,analog
lavaya,32,13,keys,fm
lilly,32,19,keys,acoustic + fm + soft + stereo
lino,32,20,keys,analog
lost beacon,32,25,keys,airy + analog + intimate + lfo + reverberant + synthetic + warm
montine,32,48,keys,acoustic
nband,32,54,keys,airy + noise
neon key,32,55,keys,analog
neon key dreams,32,56,keys,analog + chords + lofi
notenstrum,32,65,keys,analog + strumming
octecho,32,74,keys,analog + echo
op repeat,32,77,keys,fm + lfo + stereo
os2dx,32,89,keys,fm
osc dcf,32,90,keys,analog + simple
paliakey,32,99,keys,analog
paperheart,32,101,keys,acoustic + shaking
pitchoune,32,113,keys,analog + lfo
pluckeon,32,118,keys,analog + lofi
polys20,32,120,keys,analog + distorted
polysynthetix,32,121,keys,analog + big + chords + ensemble + warm
pulse pluck,32,125,keys,analog
pxlize,33,0,keys,bright + digital + fm + layered + stereo
riseandbe,33,16,keys,analog + bright + digital + simple + soft + stereo
saw vi,33,21,keys,analog + simple
scarlet,33,23,keys,analog + warm
simple anakey1,33,30,keys,analog + simple
simple anakey2,33,31,keys,analog + simple
simple anakey4,33,32,keys,analog + simple
simple fm 2 ops,33,33,keys,fm
simple fmkey,33,34,keys,fm + simple
simplephasemod,33,40,keys,fm + shaking + simple
soulfm,33,53,keys,fm + simple
spracher,33,57,keys,fm
squaluk,33,59,keys,analog
squarynights,33,60,keys,acoustic + clean + fm + shaking + soft + stereo
squazodia,33,61,keys,analog + lfo + lofi
squeakysine,33,62,keys,strumming
st-rum dx,33,63,keys,fm + strumming
stadium candy,33,64,keys,analog
street pluck,33,70,keys,analog
talking kine,33,82,keys,analog + vocal
tape melody,33,84,keys,airy + analog + clean + lofi + simple + soft + warm
terjintro,33,87,keys,analog
utopia,33,112,keys,noise + strumming
versaille,33,115,keys,acoustic + analog
vinkeilyd,33,118,keys,analog + lofi
whorus,34,3,keys,analog
yfm,34,12,keys,fm + lfo + stereo
altersaw,30,9,lead,analog
bandrive paradise,30,28,lead,analog + distorted
blasiz,30,46,lead,analog
cherie fm,30,70,lead,fm
chick s lead,30,71,lead,analog + clean + portamento + soft + warm
classicana lead,30,79,lead,analog + echo + simple
cold lead,30,86,lead,analog + noise + simple + stereo + warm
copper club,30,89,lead,analog
dabka 2022,30,106,lead,acoustic + digital
delight lead,30,109,lead,analog + echo + simple
funky lead,31,60,lead,analog + simple
gabber 21,31,63,lead,aggressive + digital
ghost voice,31,68,lead,lofi + portamento + vocal
grubbead,31,77,lead,aggressive + distorted + fm
hoovasquare,31,87,lead,analog + simple
insert coins,31,97,lead,bright + echo + lfo
jentenot,31,106,lead,
julia,31,108,lead,analog + simple
lalalead,32,8,lead,analog + portamento
leadio,32,14,lead,analog
lighthouse,32,17,lead,analog
lililead,32,18,lead,analog
lonely square,32,24,lead,analog + reverberant + simple
main square,32,31,lead,analog
minor de fond,32,44,lead,analog + chords
nostalgia,32,64,lead,analog + lofi
opead,32,79,lead,analog
opeal,32,80,lead,
pickope,32,108,lead,analog + portamento
pluckead,32,117,lead,analog + clean + portamento + simple
seventies lead,33,27,lead,analog + echo + portamento + warm
simple lead even,33,35,lead,analog + portamento + simple
simple lead odd,33,36,lead,analog + portamento + simple
smeeb,33,46,lead,analog
stadoor,33,65,lead,analog
sterelead,33,67,lead,analog + lfo + simple + stereo
synclit,33,78,lead,analog
tiny wish,33,99,lead,analog + portamento
xpressive saw,34,11,lead,airy + clean + intimate + portamento + reverberant + soft
alacloud,30,6,mallets,acoustic + echo + lfo
balafun,30,26,mallets,acoustic + woody
bella fm,30,36,mallets,bright + fm + strumming
bells of digul,30,37,mallets,acoustic + metallic
biquide hang,30,40,mallets,acoustic + metallic
biquide steel,30,42,mallets,acoustic + metallic
biquige bell,30,43,mallets,acoustic + metallic
bouncing spray,30,49,mallets,acoustic + echo + lfo + metallic
brightbank,30,60,mallets,acoustic + shaking
carbon marimba,30,62,mallets,acoustic + lfo + warm + woody
celestial,30,64,mallets,acoustic
clavichord,30,82,mallets,acoustic + clean
